ï»¿Event Name,Event Date and Time,Event Type Name,Location,Start Date,Registration begins on,Registration ends on,Description,Employer Name,student_id
HBCU Group Coaching Session II - Summer Internship Search - Perfecting Your Pitch w/ CDL Staff,"07/12/2022, 12:00PM EDT - 1:00PM EDT",Professional Development Workshop & Program,Virtual,"07/12/2022, 12:00PM EDT","07/05/2022, 12:00PM EDT","07/12/2022, 11:45AM EDT","Your pitch is one of the most important components of your personal brand when job seeking or when networking with professionals. The pitch is a representation of you and what you bring to the table. It is an introduction, but also a sell at the same time where you are sharing important bits of information to get the attention and interest of the person you are pitching to. Join the CDL team and employer guests for a session on how to develop an effective pitch, an opportunity to collaboratively work on your pitch, and to practice delivering your pitch in front of an audience and receive feedback.Â ",Career Design Lab,"['eh8783' 'dv9880' 'wm9692' 'ah8215' 'ek2278' 'md1350' 'bw9557' 'tm7389'
 'bj1369' 'pd4505' 'js9100' 'ek2278' 'cb7345' 'sm1218' 'gk4966' 'kf3140'
 'lc4648' 'rt5639' 'ac9121' 'ma3002' 'mo6654' 'kf3140' 'fd8837' 'nk9060'
 'ca8200' 'lk8463' 'ab5741' 'ae1847' 'sd6289' 'ss2421' 'kn1273' 'lt4306'
 'rl7970' 'kf8610' 'as5510' 'or6597' 'mp1077' 'gz6629' 'cb9723' 'gr2632'
 'dj2409']"
Salary Negotiation,"07/07/2022, 10:30AM EDT - 11:30AM EDT",Professional Development Workshop & Program,Virtual,"07/07/2022, 10:30AM EDT","05/24/2022, 12:15PM EDT","07/07/2022, 10:30AM EDT","Salary negotiation is an important way to increase your salary earnings when getting a new job, promotion, or performance review. Though most companies are willing to negotiate salary, many employees or candidates never try. Come to this webinar as we cover preparation tactics, best practices, and answer questions posed by students who have or are currently negotiating a salary offer.",Career Design Lab,"['pv1762' 'nl6747' 'ds9555' 'ph4904' 'br7915' 'cg9010' 'gg4115' 'pg7683'
 'xw1668' 'dc1253' 'jm5268' 'ss1349' 'cb6823' 'jd8700' 'to1788' 'dt2731'
 'mt1791' 'kf3140' 'fl7863' 'vm4184' 'fs9376' 'mk5978' 'hb5245' 'lp8018'
 'pf2547' 'ro1106' 'ub7676' 'rb2128' 'fb1277' 'lb9175' 'sv6182' 'hu4048'
 'hr1670' 'ch9908' 'ag6037' 'rg9279' 'vh2782' 'mf5938' 'nd6491' 'et8276'
 'es3247' 'rh2789' 'gr2940' 'ai8841' 'bw9085' 'rt6370' 'je2896' 'nt7416'
 'jh4892' 'rt5639' 'ml2233' 'sg7722' 'ah1800' 'xw1668' 'ps4191' 'cm3960'
 'od2175' 'fb9529' 'ws8795' 'bb5505' 'rl7970' 'rc5889' 'ub7676' 'mg7827'
 'rb5485' 'dm4941' 'bd5742' 'ak9658' 'sb3699' 'dd4523' 'nd3756' 'bd4789'
 'sm4112' 'ls7937' 'rl4424' 'gl4274' 'tr1422' 'sr5164' 'rp9496' 'wm8243'
 'tn6541' 'jl6652' 'kn1273' 'he2771' 'eb8926' 'am2033' 'cr4093' 'gs4361'
 'gu4591' 'bc2353' 'eh4894' 'cs5288' 'kb8719' 'aa9285' 'mm7242' 'cm4080'
 'ew2423' 'kd4383' 'lm4960' 'ph4904' 'cm7140' 'kg4100' 'cm9937' 'vr6922'
 'as8601' 'hc1285' 'tc1032' 'lt4306' 'ac8242' 'wm7209' 'ch9908' 'dk4415'
 'cm3367' 'as7799' 'lk6589' 'sd8809' 'dj5391' 'rb8432']"
Rebranding Yourself,"06/28/2022, 12:00PM EDT - 1:00PM EDT",Professional Development Workshop & Program,Virtual,"06/28/2022, 12:00PM EDT","05/24/2022, 12:00PM EDT","06/28/2022, 12:00PM EDT","If you want to take your career to the next level or are a career changer, you may need to rebrand yourself. In this workshop, come learn how to make it easy for peers, colleagues and employers to see your experience and recognize the value you can add to their projects and/or companies.",Career Design Lab,"['js1982' 'ap3447' 'cs2939' 'jc6043' 'cs4092' 'mc5672' 'mr9226' 'bh3503'
 'gl4274' 'fc1329' 'im5997' 'ro1106' 'fb1277' 'pd6560' 'wc8347' 'gd2987'
 'gc3217' 'ac9121' 'ra8289' 'ag4866' 'pj2704' 'jf1541' 'lr2337' 'kr5967'
 'lf4312' 'bs8708' 'vd8509' 'sw3803' 'as6854' 'tc7475' 'tb7316' 'cc5305'
 'dd4523' 'cc4393' 'cc8952' 'sn9651' 'rs4218' 'wd3720' 'ht6224' 'rm9310'
 'bb5505' 'ag1400' 'el1328' 'dg1539' 'di3815' 'dd5033' 'tg2701' 'sm1163'
 'lm1698' 'gz6629' 'ai2657' 'lm1698' 'ag8332' 'cr4093' 'js1982' 'af2937'
 'rb4786' 'ml7573' 'cd4161' 'pj7325' 'as2261' 'hb5245' 'js9100' 'cm9937'
 'cb6823' 'lk3272' 'mc5672' 'ch5716' 'lc8794' 'dj5391' 'no8876' 'wm9692'
 'rt6370' 'bb5953' 'lm1004' 'bd5742' 'bf6339' 'cb6823' 'rh2789' 'sr6318'
 'go2676' 'td3127' 'bc2353' 'bw9085' 'qt7012' 'ms1308' 'eh4894' 'is2604'
 'se1492' 'gf9718' 'jc1829' 'tl8781' 'sm1163' 'bj1369' 'kb7087' 'jk7067'
 'js1828' 'al1945' 'tp8436' 'ak6805' 'hc1285' 'et8328' 'ga1870' 'ma3296'
 'da9759' 'tv4803' 'cb1118' 'bc4712' 'mk8948' 'lf8323' 'bl1780' 'nd6491'
 'lc9120' 'iw5189' 'jh4892' 'ca2504' 'ht2225' 'cd3072' 'ae7182' 'nm3403'
 'nd6491' 'rm9310' 'js2989' 'ed5144' 'he2771' 'tm7389' 'br5516' 'ml1453'
 'dj2409' 'gd9560' 'mr6373' 'bp8921' 'gp6391' 'kg8637' 'vh6932' 'av7272'
 'eb8926' 'dm1568' 'ac7306' 'vr7075' 'gm6959' 'am2199' 'jb7378' 'cf3122'
 'ld2540' 'md1350' 'mm9430' 'ef2973' 'hg3770' 'cm7214' 'am3935' 'bl9576'
 'ds9935' 'dc7815' 'md5427' 'eh8783' 'ch9182' 'mc5672' 'hf4514' 'ds5727'
 'jm3633' 'ar3571' 'mc1399' 'tk2172' 'dc1253' 'ac4142' 'km1655' 'vh6932'
 'ts1054' 'as6736']"
How to Prepare for Interviewing and Networking,"06/21/2022, 11:00AM EDT - 12:00PM EDT",Professional Development Workshop & Program,Virtual,"06/21/2022, 11:00AM EDT","05/24/2022, 12:00PM EDT","06/21/2022, 11:00AM EDT","Do you have an upcoming interview?Unsure how to answer the ""tell me about yourself question?""Get valuable tips and strategies on interviewing and networking in this CDL webinar to help you successfully convey why you are the best person for the job. Â Â ",Career Design Lab,"['pe1121' 'db6981' 'bc2353' 'ls2169' 'tk8377' 'ct7496' 'dw2733' 'aw6820'
 'ml2233' 'tp7672' 'hb5603' 'df6463' 'kb9300' 'jl7308' 'sd2361' 'rj4734'
 'am2193' 'ag1400' 'ag5106' 'nd3756' 'hh1952' 'tn6541' 'lt9141' 'vm4184'
 'te6644' 'nh1923' 'af4730' 'md3255' 'cd4067' 'eh4894' 'dm1568' 'wp1130'
 'eb3200' 'ol1649' 'ee4189' 'eb3200' 'kf3140' 'bl9576' 'km9311' 'cb2689'
 'gf9718' 'kb8618' 'wt5528' 'pb3354' 'pr6065' 'db6981' 'jw1927' 'ts1054'
 'bl9576' 'pv6010' 'lc8794' 'kg3216' 'js9100' 'rj5787' 'km9311' 'bb1965'
 'cb9629' 'bs6078' 'vk8598' 'ca2504' 'bc4712' 'gr3336' 'lp2171' 'di3815'
 'am4375' 'kh4216' 'tl1333' 'ch9182' 'rm4797' 'vh2782' 'gr3336' 'av8603'
 'tc2087' 'kp6119' 'bh3005' 'kb1676' 'jc8518' 'ac9121' 'pg9166' 'aw8991'
 'sd5478' 'pj2704' 'ar3571' 'sh8103' 'js9100' 'em1580' 'gs4361' 'pc1990'
 'pc9978' 'nd6162' 'jc2837' 'hm8492' 'rf8504' 'kf4649' 'lk9334' 'iv2594'
 'to9401' 'rp3484' 'cm7214' 'jc2837' 'dw8568' 'bb5505' 'kd4383' 'gm8749'
 'md9426' 'yg2691' 'ms3974' 'xw1668' 'av8603' 'xw1668' 'mb4925' 'cb7345'
 'am4646' 'rj6033' 'am4999' 'rv6163' 'gc3217' 'bp8921' 'bh6361' 'dm4941'
 'xh9067' 'dv5870' 'qf2235' 'rh5818' 'pl1300' 'yt2688' 'cm6930' 'ar7443'
 'ga1442' 'sn9651' 'kl5587' 'wc8347' 'ef3540' 'gj8315' 'lk5655' 'kg3382'
 'pl1300' 'mt8122' 'wg4422' 'dm4770' 'gu4591' 'lp8018' 'ls1125' 'rs1079'
 'bs3141' 'dc5451' 'bd9676' 'dc7719' 'wk2855' 'jb5076' 'tm7389' 'bl9576'
 'kz5227' 'ag5106' 'da8685' 'dc4254' 'dg5235' 'mh8543' 'wp8855' 'cb7345'
 'hb8968' 'lt4306' 'cw7157' 'dk4415' 'ab7734' 'sd6782' 'mj2595' 'pf2547'
 'ag5106' 'sm1218' 'td3127' 'eb8720' 'nd6162' 'ca2504' 'ct7496' 'jd5455'
 'lb9175' 'md3255' 'rs4218' 'ib3297' 'cf4687' 'mm2753' 'hd5886' 'sb1247'
 'ne4057' 'vb9879' 'hb8968' 'nb7661']"
Pride at Work: Championing LGBTQIA+ Leaders & Allies,"06/20/2022, 10:00AM EDT - 7:00PM EDT",External Event,Virtual,"06/20/2022, 10:00AM EDT",,,JOIN US VIRTUALLY JUNE 20 - 23DIVERSITY REBOOT 2022:PRIDE AT WORK: CHAMPIONING LGBTQIA+ LEADERS & ALLIES,,"['bf5294' 'tw3942' 'pb2745' 'tk2172' 'bc2353' 'tv4803' 'cr8311' 'nk8522'
 'am8493' 'ks8354' 'mn6859' 'rk1735' 'ge1100' 'ae4257' 'av7899' 'yw2349'
 'mr9226' 'aa2072' 'wp2801' 'pb5265' 'gm6772' 'ha7223' 'wb7859' 'ap1412'
 'eb8926' 'rh8265' 'gl4274' 'dm4941' 'hc3237' 'ab5741' 'wp8855' 'vk8598'
 'mr1044' 'ia1498' 'ls3466' 'fw2245' 'ee4189' 'lt4306' 'lh3392' 'jk4622'
 'bi6212' 'pk5663' 'sb1247' 'ks4901' 'al9719' 'lh1320' 'wc8347' 'nd3756'
 'gj8123' 'md3255' 'sc2579' 'je2896' 'fy1621' 'ch5716' 'rm4797' 'ww6116'
 'no8876' 'er8171' 'gb6860' 'nl6507' 'wp1130' 'wp1130' 'jw9666' 'eb3200'
 'ar5324' 'jn4744' 'jc2837' 'db6981' 'bh3503' 'pj2704' 'nw7519' 'ls3466'
 'es3247' 'ac3288' 'mm9402' 'pf2547' 'mk5978' 'ms8283' 'ch9908' 'tl1333'
 'gc9116' 'ds7162' 'kh6218' 'km7497' 'jd1474' 'lc3408' 'cg9050' 'jc2837'
 'ng7082' 'tc1922' 'eb2184' 'gm6959' 'ed5144' 'ig2465' 'mj2595' 'jl6652'
 'am2714' 'tm1718' 'pg9166' 'ld9538' 'oh4362' 'gd5734' 'ga2856' 'wt5528'
 'he2771' 'am8272' 'dd5033' 'pd8482' 'tl5793' 'dl4841' 'dc4254' 'ef3540'
 'fd6835' 'cj6703' 'kh4056' 'rs8037' 'rk3664' 'fb1456' 'ng3472' 'cr4093'
 'ao4881' 'av7303' 'wp8855' 'lk9334' 'ed7882' 'ah5912' 'rf2250' 'ke8452'
 'bo7390' 'bs8708' 'dn8349' 'fc1329' 'lm1004' 'aa1207' 'ks4901' 'ma5424'
 'am4646']"
Networking with Wealth Management Professionals - Virtual,"06/15/2022, 5:00PM EDT - 6:00PM EDT",Employer Panel,Virtual,"06/15/2022, 5:00PM EDT","05/18/2022, 12:00PM EDT","06/15/2022, 9:00AM EDT","Columbia University's Career Design LabÂ  host its first ever Virtual Speed Networking event withÂ Wealth Management ProfessionalsAs an attendee you will be placed in a breakout room, and every 15 minutes you will get a chance to meet one of these amazing Wealth ManagementÂ Professionals. Names and Titles soon to come......NameÂ  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  CompanyÂ  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  TitleYouÂ will be able to ask questions about their job or organization.Â At the end of the hour you will meet at least three new contacts. It is a great way to meet industry professionals!Â ",Career Design Lab,"['lt9141' 'jd7256' 'or6597' 'es2379' 'cd3072' 'rc7465' 'at7636' 'pg1451'
 'cd2265' 'sn9209' 'di3815' 'we1101' 'el1328' 'ph6551' 'af2937' 'ds9935'
 'ab2791' 'ss2421' 'ah8215' 'kp2750' 'cg8799' 'rp4416' 'jn8938' 'nd9804'
 'fy1621' 'jd1474' 'jc8518' 'el1328' 'bp1358' 'hd5886' 'mc1399']"
Resume Review,"06/09/2022, 12:30PM EDT - 1:30PM EDT",Professional Development Workshop & Program,Virtual,"06/09/2022, 12:30PM EDT","05/24/2022, 12:00PM EDT","06/09/2022, 12:30PM EDT",Are you updating your resume this summer?Customizing your Summary or revising bullets for a job opening you plan to apply to?Get valuable tips and strategies in this CDL webinar to help you successfully represent your experience and skills to a company recruiter or hiring manager.,Career Design Lab,"['lm7331' 'tv4803' 'vd7354' 'nl2180' 'kv8594' 'am8493' 'js6273' 'aa9285'
 'sr5164' 'aa1207' 'ag6037' 'cm9937' 'ls3466' 'ah5912' 'gb8369' 'dr3155'
 'sf6359' 'ab7734' 'sk4986' 'fg8413' 'md3255' 'al6588' 'vl3100' 'tm9922'
 'gj8123' 'gd9560' 'av3800' 'gp8468' 'rj4734' 'od3159' 'ds7162' 'aw7552'
 'ar3571' 'cn8465' 'ab6895' 'lc4648' 'cs5828' 'km9311' 'gu4591' 'gc9116'
 'iw5189' 'ds7162' 'th7206' 'jb7378' 'ab5741' 'iv6827' 'bi6212' 'db3643'
 'gb8369' 'ls3242' 'ld6139' 'lf4312' 'nh1923' 'fd7751' 'bl9576' 'bm9901'
 'gp8468' 'rm8963' 'gs1094' 'da9759' 'cb9723' 'yb1853' 'lp8018' 'rt5748'
 'tf1475' 'ep1873' 'pd4505' 'fl7863' 'kr5035' 'ad4252' 'pc1990' 'rf7418'
 'mv6768' 'lb9353' 'jb7378' 'rh5818' 'nd8806' 'gj1080' 'cm5198' 'gb2395'
 'ai8841' 'jy8726' 'gp1161' 'gf3442' 'ap1412' 'cb1252' 'kg3216' 'lt9141'
 'ce6477' 'bf6339' 'cr8311' 'gb2395' 'dp1899' 'vp8113' 'ls1125' 'wt5528'
 'fb9529' 'od2175' 'wp2801' 'hf9126' 'kb3309' 'rc5362' 'jb7330' 'kf4345'
 'es1727' 'sr2627' 'rv6163' 'gg9705' 'ce9146' 'nm2829' 'ac7306' 'dh4497'
 'db2113' 'lr2337' 'lc3408' 'tc1922' 'mt4955' 'ts4396' 'km7497' 'bh3005'
 'mh8543' 'gj8123' 'dl4817' 'jy8726' 'pb3354' 'ue8997' 'kp2750' 'ec6149'
 'vh2782' 'hr6325' 'nl4174' 'ne4057' 'bh6361' 'pe1121' 'wc5369' 'gb9448'
 'ml7573' 'am2033' 'sc2579' 'da8685' 'wc5369' 'ce6477' 'nh1923' 'ch5434'
 'gk4966' 'rh5818' 'ag6037' 'th7206']"
Join the Wildfire Resilience Case Competition!,"06/01/2022, 11:40PM EDT - 11:45PM EDT",External Event,Virtual,"06/01/2022, 11:40PM EDT",,,"Join the Wildfire ResilienceCase Competition!New Program Alert! TheÂ 2022 Wildfire Resilience Case CompetitionÂ has arrived.Net Impact is partnering with the US Forest Service to take climate actionthrough forest management and we want your ideas to craft solutions for a sustainable future.For this competition, we are asking teams of 2-5 to put on their creative hatsÂ to imagine the best way to use a fictional $200M grant to harness wood waste from forest management practices. We are looking for next-genÂ solutions to support forest ecosystem restoration, community resilience, and economic opportunityÂ in communities affected by wildfires.Compete in the Wildfire Resilience Case Competition for the chance to win 1:1 business coachingÂ to hone your idea, develop new skills, and prepare for a final pitch-off competition where you may present your proposal to a panel of expert judges.Â The top team will win $10,000 and second and third place teams will win $5,000 and $2,500 respectively. Apply by April 1st to receive specialized feedback on your submission and increase your chances of winning the big prizes!Are you ready to learn how to be a part of the solution?",Net Impact,"['vs2866' 'es2379' 'rl4633' 'cc5305' 'ak9658' 'tc1922' 'aw4113' 'ta2546'
 'dc7719' 'js1982' 'jm5268' 'gh6054' 'jd8700' 'gb6225' 'rh8074' 'fb1277'
 'rs1079' 'dm1568' 'jp3970' 'gb2395' 'tc8955' 'pv6010' 'bs8708' 'bw9557'
 'jc6043' 'ad5003' 'sh6609' 'gb8369' 'ls3242' 'cp6091' 'db2113' 'js9832'
 'dr3155' 'ne8282' 'pm5617' 'pw1751' 'rb4044' 'jd3659' 'td3127' 'rm4797'
 'am6110' 'lt4524' 'pv1617' 'dc1253' 'or6597' 'rs8037' 'sd5478' 'to1788'
 'pb3354' 'vr7075' 'dc5451' 'el6452' 'mr6373' 'sd6289' 'zm8614' 'tl8781'
 'ms2636' 'pc9978' 'ga1442' 'ks2885' 'tp8436' 'cd3680' 'gn6268' 'nk9060'
 'jd7256' 'ae1847' 'is2604' 'bo7390' 'rb4786' 'ab2791' 'aa9285' 'lk5655'
 'cd3688' 'ec3940' 'cs9514' 'iv6827' 'tc1032' 'ks4901' 'as2261' 'bs7868'
 'wb4981' 'ad5003' 'pg3091' 'ag4866' 'rs8037' 'gm8749' 'km8550' 'mt3738'
 'ak6805' 'aa4294' 'rt5639' 'el6452' 'kr5967' 'bb5505' 'ab8028' 'cd3688'
 'jb5076' 'dl7353' 'sd8809' 'cc8952' 'jp5929' 'iv2594' 'sk5746' 'mb4567'
 'be8840' 'kk4380' 'tc8955' 'kp5867' 'he5574' 'ag5106' 'bf5294' 'df6463'
 'kl8697' 'dk4415' 'dw8568' 'kh6218' 'fb6278' 'ia1498' 'jp5929' 'db1643'
 'rp3484' 'gp1161' 'wr1832' 'js1828' 'ef3540' 'ab5741' 'ge1100' 'em5618'
 'gh6054' 'jf1541' 'ec6149' 'jw9666' 'ec6149' 'dp1899' 'at7424' 'ms3974'
 'ma3296' 'cr2972' 'as6736' 'vc7541' 'iv2594' 'dg1539' 'bb5953' 'al8834'
 'cw9406' 'gp5430' 'ac1921' 'rb5061' 'bh6361' 'rp4416' 'am3279' 'vj3465'
 'wc5369' 'lg4395' 'nt7416' 'gp1161' 'kg3216' 'am8493' 'ag8332' 'jm9051'
 'el5021' 'fy1621' 'ph4904' 'ly5500' 'mt7579' 'cr8311' 'jp9032' 'rc5362'
 'cr4093' 'lc3408' 'yg2691' 'wj4740' 'cj6703' 'kf4345' 'rs8893' 'av7899'
 'cb2689' 'am9625' 'as6112' 'eh8355' 'pm5617' 'ch5434' 'jk7067' 'rt5748'
 'ch9182' 'sr5164' 'km9311' 'jm9051' 'ks5694' 'pr6065' 'pe8184' 'bs6078'
 'al9719' 'cm7140' 'wl9210']"
NBCU Universal - Fall 2022 Internship Program - Instagram Live,"06/01/2022, 3:00PM EDT - 4:00PM EDT",External Event,Instagram Live (@nbcu_interns),"06/01/2022, 3:00PM EDT",,,"Hello from NBCUniversal!Â Â We have launched our Fall 2022 Internship Program applications, and want to ensure your students are prepared for the recruitment cycle. Below you will find a brief overview of our program, including information about ourÂ Instagram Live event on 6/1 at 12pm PST/3pm EST.Â Attached is a PDF that outlines additional tips for youÂ to consider when submitting their applications and preparing for potential interviews.Â Â Fall 2022 Details:Â Internships are part-time,Â approximately 16-24 hours per week.Â Virtual and in-person opportunities.Â Review each posting thoroughly for location details.Â MostÂ applications close on June 17thÂ at 8pm PST/11pm EST.Â Donât wait until the last minute,Â apply as soon as possible.Â Â Pro Tips:Â Attend our Instagram Live on 6/1Â at 12pm PST/3pm EST. IG: @nbcu_internsÂ Be intentional about your applications.Â We encourage you to apply to the opportunities you areÂ mostÂ interested in, not every single posting.Â Review the attached PDFÂ for additional tips on preparing your application, and follow @nbcu_interns for insights directly from our recruiters.Research the companyÂ while you wait to hear from us. It may take a while due to our interest, but you can never be too prepared.Â ","NBCUniversal Media, LLC","['cm4080' 'cd2265' 'pv6010' 'gc9826' 'lh5798' 'mt4757' 'dm5594' 'po3021'
 'ls4961' 'sl7343' 'wv3801' 'nl6747' 'ns6537' 'ca8200' 'nk8522' 'tm1718'
 'wv3801' 'ac8242' 'lc8728' 'cd8702' 'rg9279' 'ig2465' 'jp3970' 'he2771'
 'pb3504' 'rb2128' 'ne4057' 'cm4588' 'ks2885' 'js1982' 'cs3440' 'lk9334'
 'yw2349' 'pb3354' 'av8603' 'jc1829' 'ac4719' 'bj1369' 'gb3877' 'ts9871'
 'bo7390' 'tc1032' 'mg6885' 'ks6400' 'pl1300' 'mk5958' 'fr9097' 'cc5305'
 'tf7108' 'lc8728' 'ad2419' 'jc8518' 'rf2250' 'ai2657' 'hm4038' 'gp6391'
 'ko4589' 'pb2745' 'mk8948' 'gs2722' 'ad5003' 'ec6124' 'pm6312' 'da8685'
 'dk4415' 'rb8432' 'aw2202' 'da9759' 'gc5540' 'lk6589' 'hg3770' 'ts4222'
 'md9426' 'iw5189' 'mt2524' 'rb9189' 'mm9845' 'rv6163' 'dc1253' 'ga7908'
 'mm9402' 'cw7157' 'jd4296' 'kk4380' 'ft9400' 'gr2632' 'dn8349' 'mm7242'
 'mw9706' 'pr8327' 'jq7226' 'dv2565' 'am2033' 'qt7012' 'di3815' 'pc1990'
 'cr4093' 'md1350' 'hg8958' 'le6070' 'pv4933' 'ck5767' 'ly5500' 'fy1621'
 'as8601' 'se1492' 'ch5716' 'dw8568' 'bs4446' 'eh4894' 'wb7859' 'al1945'
 'rh5818' 'tm5521' 'jm4007' 'cm3960' 'dm2920' 'ei9254' 'cs3440' 'vd7931'
 'ml1453' 'jm9051' 'fb9529' 'km5484' 'ke8452' 'tw3942' 'nt7416' 'bb1965'
 'ss1349' 'cw4494' 'mb4925' 'td3127' 'jc8518' 'rc7465' 'dc5451' 'js2989'
 'ia3827' 'or6597' 'te6644' 'pp9107' 'bb5081' 'be8840' 'cf2053' 'bd4421'
 'dm2920' 'pk5663' 'bs7868' 'da8685' 'oh4362' 'hm4225']"
McKinsey Sector Spotlight â Life Sciences,"05/26/2022, 6:00PM EDT - 7:00PM EDT",External Event,Virtual,"05/26/2022, 6:00PM EDT","04/01/2022, 11:00AM EDT","04/26/2022, 12:00PM EDT",Event descriptionThis session is open to Advanced Professional Degree students who are interested in learning more about Life Sciences work at McKinsey.Â ,McKinsey & Company,"['pe1121' 'aw8991' 'ue8997' 'bs8262' 'od3159' 'lg1154' 'jb5076' 'cw4494'
 'ce9146' 'tk8377' 'ww6116' 'ej9242']"
